,Short Title,Intro House,Passed House,Intro Senate,Passed Senate,Assent Date,Act No.
36,Customs Tariff Amendment (Growing Australian Export Opportunities Across the Asia-Pacific) 2019,16/10,21/10,11/11,,,
37,Education Legislation Amendment (2019 Measures No. 1) 2019,16/10,24/10,11/11,14/11,,
38,Education Legislation Amendment (Tuition Protection and Other Measures) 2019,18/916,24/10,11/11,,,
39,Emergency Response Fund 2019,11/917,17/9,18/9R18,17/10,28/10,90.0
40,Emergency Response Fund (Consequential Amendments) 2019,11/919,17/9,18/9,17/10,28/10,91.0
41,Environment Protection and Biodiversity Conservation Amendment (Heritage Listing for the Bight) 2019P,22/7,,,,,
42,Fair Work Amendment (Stop Work to Stop Warming) 2019P,16/9,,,,,
43,Fair Work Laws Amendment (Proper Use of Worker Benefits) 2019,4/720,10/9,11/9,,,
44,Fair Work (Registered Organisations) Amendment (Ensuring Integrity) 2019,4/721,31/7,31/7,,,
45,Family Assistance Legislation Amendment (Building on the Child Care Package) 2019,18/922,,,,,
46,Family Assistance Legislation Amendment (Extend Family Assistance to ABSTUDY Secondary School Boarding Students Aged 16 and Over) 2019,31/723,10/9,11/9,18/9,20/9,73.0
47,Farm Household Support Amendment 2019,4/7,29/7,30/7,30/7,7/8,60.0
48,Farm Household Support Amendment (Relief Measures) (No. 1) 2019,17/1024,23/10,11/11,12/11,,
49,Foreign Acquisitions and Takeovers Fees Imposition Amendment (Near-new Dwelling Interests) 2019,23/10,,,,,
50,Future Drought Fund 2019,22/7,22/7,23/7,24/7A25,30/7,55.0
51,Future Drought Fund (Consequential Amendments) 2019,22/7,22/7,23/7,24/7,30/7,56.0
52,Health Legislation Amendment (Data-matching and Other Matters) 2019,23/10,,,,,
53,Higher Education Support (HELP Tuition Protection Levy) 2019,18/926,24/10,11/11,,,
54,Higher Education Support Amendment (Cost Recovery) 2019,4/7,11/9,11/9,15/10,28/10,86.0
55,Higher Education Support (Charges) 2019,4/7,11/9,11/9,15/10,28/10,85.0
56,Identity-matching Services 2019,31/727,,,,,
57,Live Sheep Long Haul Export Prohibition 2019P,22/7,,,,,
58,Medical and Midwife Indemnity Legislation Amendment 2019,18/9,16/10,17/10,14/11,,
59,Migration Amendment (Repairing Medical Transfers) 2019,4/728,25/7,29/7,,,
60,Migration Amendment (Streamlining Visa Processing) 2019,4/7,11/9,11/9,,,
61,Migration Amendment (Strengthening the Character Test) 2019,4/729,19/9,19/9,,,
62,Migration Legislation Amendment (Regional Processing Cohort) 2019,4/730,,,,,
63,Military Rehabilitation and Compensation Amendment (Single Treatment Pathway) 2019,4/7,16/9,16/9,,,
64,National Consumer Credit Protection Amendment (Small Amount Credit Contract and Consumer Lease Reforms) 2019P,16/9,,,,,
65,National Health Amendment (Pharmaceutical Benefits) 2019,4/7,11/9,11/9,19/9,2/10,77.0
66,National Health Amendment (Safety Net Thresholds) 2019,11/9,15/10,17/10,14/11,,
67,National Housing Finance and Investment Corporation Amendment 2019,12/931,17/9,18/9,14/10A32,18/10,83.0
68,National Integrity Commission 2019P,9/9,,,,,
69,National Sports Tribunal 2019,24/7,9/9,9/9,11/9,19/9,68.0
70,National Sports Tribunal (Consequential Amendments and Transitional Provisions) 2019,24/7,9/9,9/9,11/9,19/9,69.0
71,Native Title Legislation Amendment 2019,17/1033,,,,,
72,New Skilled Regional Visas (Consequential Amendments) 2019,31/734,14/10,17/10,,,
73,Official Development Assistance Multilateral Replenishment Obligations (Special Appropriation) 2019,24/10,,,,,
74,Offshore Petroleum and Greenhouse Gas Storage Amendment (Miscellaneous Amendments) 2019,25/735,11/9,11/9,16/10,28/10,92.0
75,Offshore Petroleum and Greenhouse Gas Storage (Regulatory Levies) Amendment 2019,25/736,11/9,11/9,16/10,28/10,93.0
76,Paid Parental Leave Amendment (Work Test) 2019,11/9,19/9,19/9,17/10,28/10,84.0
77,Passenger Movement Charge Amendment (Timor Sea Maritime Boundaries Treaty) 2019,4/7,25/7,29/7,29/7,7/8,58.0
78,Protection of the Sea (Prevention of Pollution from Ships) Amendment (Air Pollution) 2019,18/9,16/10,17/10,,,
79,Refugee Protection 2019P,21/10,,,,,
80,Royal Commissions Amendment (Private Sessions) 2019,25/7,31/7,31/7,10/9A37,13/9,64.0
81,Social Security (Administration) Amendment (Cashless Welfare) 2019,25/7,30/7,31/7,1/8,12/8,62.0
82,Social Security (Administration) Amendment (Income Management to Cashless Debit Card Transition) 2019,11/938,,,,,
83,Social Services Legislation Amendment (Better Targeting Student Payments) 2019,11/9,,,,,
84,Social Services Legislation Amendment (Drug Testing Trial) 2019,11/939,17/10,17/10,,,
85,Social Services Legislation Amendment (Payment Integrity) 2019,11/9,,,,,
86,Social Services Legislation Amendment (Overseas Welfare Recipients Integrity Program) 2019,25/7,9/9H,10/9,17/9,20/9,74.0
87,Telecommunications (Interception and Access) Amendment (Assistance and Access Amendments Review) 2019,17/10,,,,,
88,Timor Sea Maritime Boundaries Treaty Consequential Amendments 2019,4/7,25/7H,29/7,29/7,7/8,57.0
89,Transport Security Amendment (Serious Crime) 2019,23/10,,,,,
90,Treasury Laws Amendment (2018 Measures No. 2) 2019,4/7,15/10,17/10,,,
91,Treasury Laws Amendment (2018 Superannuation Measures No. 1) 2019,24/7,12/9,12/9,19/9,2/10,78.0
92,Treasury Laws Amendment (2019 Measures No. 2) 2019,18/9,16/10,17/10,17/10,28/10,94.0
93,Treasury Laws Amendment (2019 Tax Integrity and Other Measures No. 1) 2019,24/740,1/8,1/8,16/10A41,28/10,95.0
94,Treasury Laws Amendment (Combating Illegal Phoenixing) 2019,4/7,,,,,
95,Treasury Laws Amendment (Consumer Data Right) 2019,24/7,30/7,31/7,1/8,12/8,63.0
96,Treasury Laws Amendment (Ending Grandfathered Conflicted Remuneration) 2019,1/8,10/9,11/9,14/10,28/10,87.0
97,Treasury Laws Amendment (International Tax Agreements) 2019,19/9,24/10,11/11,14/11,,
98,Treasury Laws Amendment (Making Sure Multinationals Pay Their Fair Share of Tax in Australia and Other Measures) 2019,4/7,31/7,1/8,9/9,13/9,65.0
99,Treasury Laws Amendment (Prohibiting Energy Market Misconduct) 2019,18/942,23/10H,11/11,12/11A,,
100,Treasury Laws Amendment (Putting Members— Interests First) 2019,4/743,16/9,16/9,19/9A44,2/10,79.0
101,Treasury Laws Amendment (Recovering Unpaid Superannuation) 2019,18/945,,,,,
102,Treasury Laws Amendment (Reducing Pressure on Housing Affordability Measures) 2019,23/10,,,,,
103,Treasury Laws Amendment (Tax Relief So Working Australians Keep More Of Their Money) 2019,2/7,2/7,4/7,4/7,5/7,52.0
104,Treasury Laws Amendment (Timor Sea Maritime Boundaries Treaty) 2019,24/7,25/7,29/7,29/7,7/8,59.0
105,Veterans— Affairs Legislation Amendment (Partner Service Pension and Other Measures) 2019,1/8,12/9,12/9,17/9,20/9,75.0
106,VET Student Loans (VSL Tuition Protection Levy) 2019,18/946,24/10,11/11,,,
107,Water Amendment (Indigenous Authority Member) 2019,4/7,11/9,12/9,19/9,2/10,80.0
